month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
1991-02,high,55000.0,7300.0,245000.0,44000.0,88500.0,726.2615618780003,251.72413793103448,1726.4957264957266,617.1795133919444,931.4757746961137
1991-03,high,57300.0,7300.0,220000.0,43000.0,93500.0,719.00826446281,251.72413793103448,1558.3333333333333,632.3529411764706,970.8737864077669
1991-04,high,57000.0,7800.0,220500.0,42500.0,88300.0,763.1578947368421,251.61290322580646,1775.0,626.8656716417911,932.2033898305085
1991-05,high,63000.0,9000.0,256000.0,42000.0,98000.0,754.2372881355932,290.3225806451613,1718.1208053691275,626.8656716417911,1000.0
1991-06,high,62000.0,20000.0,275000.0,45000.0,110000.0,768.7617260787993,324.6753246753247,1883.5616438356165,632.9861111111111,1035.155166435506
1991-07,high,67000.0,15000.0,243000.0,47000.0,110000.0,782.6086956521739,326.0869565217391,1760.8695652173913,677.9661016949152,1032.7868852459017
1991-08,high,60000.0,7000.0,279000.0,45000.0,100000.0,769.4638694638695,225.80645161290323,1927.710843373494,634.3973283628455,963.0893300248139
1991-09,high,63000.0,13500.0,300000.0,46000.0,112000.0,772.0588235294117,293.4782608695652,1840.4907975460123,646.4646464646464,1074.3801652892562
1991-10,high,68000.0,10400.0,263800.0,47000.0,120000.0,797.8723404255319,320.0,1948.7179487179487,647.0588235294117,1081.081081081081
1991-11,high,62000.0,7000.0,293000.0,45500.0,105500.0,775.511676725269,225.80645161290323,1889.8305084745762,644.1670349094122,1031.4102564102564
1991-12,high,55000.0,8000.0,272000.0,42500.0,90000.0,730.3370786516854,275.86206896551727,1925.6198347107438,617.6470588235294,968.421052631579
1992-01,high,62000.0,13500.0,275000.0,45500.0,109850.0,777.4039637876193,319.44444444444446,1883.5616438356165,662.4291282778171,1030.0803673938
1992-02,high,64600.0,16000.0,225000.0,47000.0,103000.0,792.3076923076923,230.55555555555554,1717.557251908397,671.6417910447761,1032.177363699103
1992-03,high,70000.0,7000.0,280000.0,46300.0,123000.0,842.8571428571429,225.80645161290323,1984.7328244274809,677.9661016949152,1111.111111111111
1992-04,high,67000.0,15000.0,295000.0,47000.0,115000.0,809.9173553719008,326.0869565217391,1983.4710743801652,690.4761904761905,1103.8961038961038
1992-05,high,70000.0,7300.0,300000.0,47000.0,129500.0,846.1538461538462,251.72413793103448,2010.989010989011,691.3199426111908,1151.923076923077
1992-06,high,63050.0,10000.0,312500.0,47000.0,112750.0,831.6449175824175,300.0,2148.7603305785124,680.1614481409001,1122.857142857143
1992-07,high,72000.0,15000.0,292000.0,47000.0,122875.0,860.8767576509513,324.6753246753247,1986.3945578231292,689.3382352941176,1194.884009942005
1992-08,high,70750.0,10000.0,327000.0,50000.0,127000.0,891.0463861920173,326.0869565217391,2153.3333333333335,701.4925373134329,1195.6521739130435
1992-09,high,70000.0,18000.0,267000.0,48000.0,121500.0,880.5970149253732,351.35135135135135,2095.0413223140495,693.3760683760684,1184.8233924181654
1992-10,high,79000.0,13500.0,295000.0,52500.0,124500.0,923.9130434782609,293.4782608695652,2041.6666666666667,701.4925373134329,1219.9255890863992
1992-11,high,72500.0,7000.0,328000.0,50000.0,130750.0,911.9546498277841,225.80645161290323,2609.756097560976,708.3830845771145,1239.6694214876034
1992-12,high,70000.0,17000.0,335000.0,47000.0,124000.0,913.1994261119082,303.57142857142856,2250.0,691.1764705882352,1213.1602764521967
1993-01,high,70000.0,10000.0,305000.0,47000.0,126800.0,905.4054054054054,344.82758620689657,2198.3471074380163,701.4925373134329,1230.7692307692307
1993-02,high,72000.0,8000.0,277000.0,50000.0,133500.0,939.9038461538462,258.06451612903226,2289.2561983471073,701.9006529850747,1246.0899315738025
1993-03,high,77000.0,23000.0,306000.0,50000.0,130000.0,958.9041095890411,383.3333333333333,2396.694214876033,702.3809523809524,1326.923076923077
1993-04,high,80000.0,15000.0,362000.0,53500.0,141000.0,969.6969696969697,310.0,2429.7520661157023,746.2686567164179,1351.3513513513512
1993-05,high,104000.0,8000.0,330000.0,64250.0,179500.0,1180.8510638297873,275.86206896551727,2566.6666666666665,892.3076923076923,1570.8303635067714
1993-06,high,120000.0,18000.0,398000.0,70000.0,187000.0,1297.6190476190477,391.30434782608694,2708.3333333333335,1029.8507462686566,1621.6216216216217
1993-07,high,120000.0,25000.0,395000.0,76750.0,210000.0,1356.5891472868218,353.3333333333333,2633.3333333333335,1093.0288461538462,1760.6439393939395
1993-08,high,120000.0,17000.0,450000.0,76875.0,220000.0,1405.2111410601979,377.77777777777777,2986.6666666666665,1119.402985074627,1885.601092896175
1993-09,high,138500.0,13000.0,460000.0,80000.0,230000.0,1482.0081549439346,410.7142857142857,2986.577181208054,1164.3835616438357,1956.9421434943292
1993-10,high,139000.0,25500.0,430000.0,88000.0,215000.0,1601.9417475728155,547.945205479452,3125.0,1276.5018773466834,1996.3883196721313
1993-11,high,139000.0,10000.0,425000.0,90000.0,240000.0,1586.9200244200242,322.5806451612903,3165.289256198347,1286.8663594470047,2043.4782608695652
1993-12,high,141500.0,15000.0,395000.0,88000.0,240000.0,1600.9708737864078,425.531914893617,3173.913043478261,1292.7601809954751,2082.5
1994-01,high,145500.0,24000.0,427000.0,90000.0,233500.0,1612.2768556216724,649.3506493506494,3247.863247863248,1323.5294117647059,2040.2097902097903
1994-02,high,150000.0,12000.0,535000.0,90000.0,226000.0,1650.485436893204,387.0967741935484,3282.2085889570553,1310.8108108108108,2064.516129032258
1994-03,high,160000.0,20000.0,500000.0,91000.0,250000.0,1713.6243386243386,500.0,3458.3333333333335,1343.2835820895523,2129.5610787942887
1994-04,high,135000.0,25000.0,445000.0,90000.0,233250.0,1630.4347826086957,763.8888888888889,3441.6666666666665,1338.4615384615386,2100.4854368932038
1994-05,high,150000.0,20000.0,465000.0,95000.0,245000.0,1726.1904761904761,689.6551724137931,3316.2393162393164,1384.0885142255006,2153.9256198347107
1994-06,high,165000.0,40000.0,534600.0,100000.0,241000.0,1750.0,548.780487804878,3583.3333333333335,1445.358401880141,2166.4765319426338
1994-07,high,155000.0,25000.0,457500.0,95000.0,240000.0,1747.5728155339805,806.4516129032259,3358.974358974359,1412.162162162162,2163.4615384615386
1994-08,high,165000.0,27000.0,510000.0,100000.0,255000.0,1812.5,851.063829787234,3553.719008264463,1466.6666666666667,2261.904761904762
1994-09,high,175000.0,36000.0,532000.0,105000.0,270000.0,1880.952380952381,857.1428571428571,3746.478873239437,1532.258064516129,2314.0495867768595
1994-10,high,180000.0,28000.0,495000.0,110000.0,278500.0,1875.0,760.0,3803.4188034188032,1554.200940070505,2384.7729101148248
1994-11,high,171000.0,24000.0,505000.0,105000.0,255000.0,1837.0280948200175,774.1935483870968,3764.705882352941,1503.1343283582091,2284.6060943887032
1994-12,high,169000.0,25000.0,540000.0,105000.0,265000.0,1846.886446886447,862.0689655172414,3595.0413223140495,1500.0,2302.070089001907
1995-01,high,165000.0,34000.0,545000.0,106000.0,262000.0,1801.7945984363896,829.2682926829268,3801.6528925619837,1526.2226512226512,2342.3589122741664
1995-02,high,183000.0,30000.0,510000.0,108000.0,267000.0,1955.2238805970148,808.8235294117648,4000.0,1562.5,2362.6373626373625
1995-03,high,177500.0,30000.0,586000.0,110000.0,280750.0,1930.8213716108453,956.5217391304348,4013.698630136986,1612.6624939817045,2461.929736929737
1995-04,high,168000.0,36000.0,525000.0,115000.0,271250.0,1924.653215636822,860.0,4025.0,1651.153469315044,2456.2466222302287
1995-05,high,195000.0,35000.0,552500.0,120000.0,310000.0,2094.7368421052633,1039.2156862745098,4166.666666666667,1768.2926829268292,2603.305785123967
1995-06,high,185000.0,55000.0,615000.0,123750.0,265000.0,2096.464019851117,914.6341463414634,4066.6666666666665,1790.6268656716418,2511.0336817653892
1995-07,high,202250.0,34500.0,645000.0,125750.0,314250.0,2226.190476190476,1112.9032258064517,4404.761904761905,1848.303934871099,2707.9521417239557
1995-08,high,200000.0,50000.0,620000.0,125250.0,315000.0,2180.461329715061,907.6923076923077,4333.333333333333,1843.1174089068827,2719.121325828643
1995-09,high,206000.0,52000.0,600000.0,128750.0,302750.0,2247.222222222222,1092.1052631578948,4214.876033057852,1895.5223880597016,2793.174693644913
1995-10,high,210000.0,33000.0,650000.0,135000.0,284500.0,2300.826446280992,1064.516129032258,4391.891891891892,1955.8823529411766,2751.5495867768595
1995-11,high,218000.0,38000.0,650000.0,137000.0,318000.0,2357.1428571428573,1225.8064516129032,4583.333333333333,2000.0,2866.6666666666665
1995-12,high,226500.0,40000.0,670000.0,143250.0,334250.0,2437.729385857597,1290.3225806451612,4672.131147540984,2089.5522388059703,2950.204875338565
1996-01,high,225500.0,38000.0,620000.0,146000.0,330500.0,2481.763925729443,1104.7619047619048,4833.333333333333,2134.3283582089553,3010.8880090497737
1996-02,high,223000.0,41000.0,770000.0,150000.0,317500.0,2483.5164835164837,1369.86301369863,4833.333333333333,2164.179104477612,3023.188061121351
1996-03,high,248000.0,40000.0,750000.0,158000.0,356500.0,2668.560606060606,869.5652173913044,4716.312056737589,2250.0,3203.0264817150064
1996-04,high,250000.0,45000.0,726800.0,164625.0,378000.0,2742.83381712627,1382.9787234042553,5284.552845528456,2356.2436580416033,3305.7487983809765
1996-05,high,239644.0,46000.0,725000.0,165000.0,359500.0,2799.0384615384614,1219.5121951219512,5203.252032520325,2418.6959937156325,3379.464855211124
1996-06,high,258000.0,48000.0,710000.0,178000.0,377250.0,2930.071637902963,1283.7837837837837,5165.289256198347,2579.1161380597014,3451.190476190476
1996-07,high,280000.0,72000.0,740000.0,183000.0,405000.0,3104.7945205479455,1597.0149253731342,5566.666666666667,2683.028455284553,3641.8075684380033
