,month,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
186,2005-07,221000.0,78000.0,595000.0,170000.0,275000.0,2388.8888888888887,1298.7012987012988,4243.90243902439,2203.3209315144,2604.683195592286
187,2005-08,222000.0,78000.0,498000.0,171000.0,275000.0,2388.0597014925374,1079.1946308724832,4390.243902439024,2213.3534935540347,2585.6936795174406
188,2005-09,222750.0,67500.0,494000.0,174000.0,275000.0,2387.548449612403,1343.2835820895523,4390.909090909091,2208.8636571742513,2584.272658035034
189,2005-10,228000.0,65000.0,545000.0,174625.0,278000.0,2388.244726779327,1384.6153846153845,4753.086419753086,2208.179400029555,2593.4065934065934
190,2005-11,227000.0,75000.0,562000.0,175000.0,278125.0,2395.7188644688645,1228.8135593220338,4286.585365853659,2218.75,2609.090909090909
191,2005-12,230000.0,90000.0,500000.0,175000.0,280000.0,2388.8888888888887,1397.8494623655913,4275.862068965517,2219.178082191781,2608.695652173913
192,2006-01,225588.0,69000.0,510000.0,173300.0,280000.0,2395.6043956043954,1483.1460674157304,4260.869565217391,2213.1750241080035,2617.156862745098
193,2006-02,227000.0,65000.0,497500.0,174500.0,278000.0,2380.0,1432.6923076923076,4422.222222222223,2194.0610776684775,2600.0
194,2006-03,227000.0,80000.0,530000.0,175000.0,281000.0,2398.0582524271845,1436.7816091954023,4266.666666666667,2214.0130861504904,2622.086720867209
195,2006-04,231000.0,85000.0,540000.0,176500.0,283000.0,2403.1007751937987,1168.8311688311687,4753.086419753086,2206.6115702479337,2622.222222222222
196,2006-05,228000.0,86000.0,579000.0,174075.0,282000.0,2417.910447761194,1438.3561643835617,4521.739130434783,2219.5792012865186,2655.015673981191
197,2006-06,227000.0,80000.0,580000.0,175000.0,282000.0,2404.9305957200695,916.0305343511451,4518.181818181818,2219.178082191781,2630.769230769231
198,2006-07,226650.0,82000.0,548000.0,171000.0,280000.0,2411.2316644441753,1274.0740740740741,4545.454545454545,2214.876033057851,2653.846153846154
199,2006-08,228650.0,83000.0,512000.0,172000.0,280000.0,2411.1746031746034,1513.5135135135135,4716.666666666667,2205.598718735092,2644.6860276511934
200,2006-09,228000.0,86500.0,537000.0,173000.0,279000.0,2435.034896932316,1481.4814814814815,4725.274725274725,2224.2484759302083,2666.6666666666665
201,2006-10,227000.0,90000.0,532000.0,175000.0,282875.0,2423.7691686844228,1302.3255813953488,4727.272727272727,2213.7656033287103,2656.716417910448
202,2006-11,226650.0,88000.0,600000.0,173000.0,280000.0,2433.406610066707,1406.25,4890.909090909091,2233.009708737864,2658.3841463414637
203,2006-12,228000.0,88000.0,535000.0,174000.0,285000.0,2440.2985074626868,1531.5315315315315,4755.555555555556,2212.328767123288,2692.3076923076924
204,2007-01,236000.0,89000.0,546000.0,183000.0,292500.0,2461.818181818182,1139.7058823529412,4827.272727272727,2238.095238095238,2703.125
205,2007-02,235000.0,105000.0,565000.0,182000.0,293000.0,2460.0,1354.8387096774193,4836.363636363636,2238.095238095238,2739.72602739726
206,2007-03,239000.0,94000.0,585000.0,185000.0,296000.0,2478.3573352066505,1311.4754098360656,5160.493827160494,2251.2417218543046,2747.3764973764974
207,2007-04,235000.0,87000.0,536000.0,182000.0,290000.0,2485.221316249272,1561.904761904762,4833.333333333333,2259.6153846153848,2751.8564356435645
208,2007-05,240000.0,88000.0,628000.0,188000.0,295000.0,2500.0,1590.909090909091,5731.707317073171,2273.972602739726,2778.388278388278
209,2007-06,248000.0,100000.0,560000.0,195000.0,306000.0,2518.7633914906646,1634.6153846153845,5189.873417721519,2285.714285714286,2800.0
210,2007-07,252000.0,97000.0,590000.0,195000.0,308000.0,2552.819520904627,1500.0,5173.333333333333,2304.293927416457,2859.902185965468
211,2007-08,257000.0,92600.0,720000.0,195000.0,313000.0,2581.818181818182,1532.846715328467,6260.869565217391,2320.8644278606967,2911.599511599512
212,2007-09,260100.0,73000.0,700000.0,203000.0,320000.0,2675.862068965517,1430.3149606299212,6318.181818181818,2378.3783783783783,3000.0
213,2007-10,266000.0,98000.0,730000.0,208000.0,325000.0,2721.9358533791524,1500.0,6707.317073170731,2443.772502250225,3106.216490363716
214,2007-11,265000.0,100000.0,780000.0,210000.0,330875.0,2785.4583772391993,1611.111111111111,5840.0,2472.064452401531,3188.1973140495866
215,2007-12,270000.0,109000.0,765000.0,215000.0,338000.0,2859.477841158403,1640.625,6000.0,2520.5479452054797,3264.4628099173556
216,2008-01,285000.0,90000.0,750888.0,217000.0,352500.0,2916.6666666666665,1586.5384615384614,6257.4,2595.2380952380954,3372.093023255814
217,2008-02,277750.0,111000.0,770000.0,218000.0,342916.0,2964.124839124839,1472.5274725274726,6951.219512195122,2643.767801437678,3344.3078324225867
218,2008-03,288888.0,105000.0,890000.0,222000.0,352000.0,2983.8709677419356,1735.2941176470588,6363.636363636364,2657.3426573426573,3415.0943396226417
219,2008-04,292000.0,135000.0,818000.0,230000.0,360000.0,3070.1754385964914,1666.6666666666667,6727.272727272727,2705.8823529411766,3471.5447154471544
220,2008-05,298000.0,105000.0,832000.0,235000.0,365000.0,3116.5158371040725,1615.0,6372.718181818182,2778.215223097113,3535.606060606061
221,2008-06,303000.0,115000.0,830000.0,239250.0,375000.0,3161.2394957983197,1900.8264462809918,7073.170731707317,2806.346222699606,3578.946842344389
222,2008-07,313000.0,138000.0,820000.0,249250.0,378000.0,3207.3771885092638,1730.7692307692307,6222.222222222223,2865.4563719862226,3598.054652580252
223,2008-08,310000.0,138000.0,707800.0,248000.0,375000.0,3254.5454545454545,1711.864406779661,6424.418604651163,2883.5616438356165,3626.865671641791
224,2008-09,320000.0,100000.0,700000.0,258000.0,383000.0,3298.738267425758,1638.095238095238,6323.2558139534885,2945.5672554347825,3692.3076923076924
225,2008-10,320000.0,155000.0,780888.0,257250.0,383000.0,3322.314049586777,1623.076923076923,6593.406593406594,2979.091792132103,3705.8823529411766
226,2008-11,325000.0,133800.0,788000.0,260000.0,390000.0,3331.8840579710145,1727.9411764705883,7195.121951219512,2981.734006734007,3710.619906621392
227,2008-12,322000.0,146000.0,700000.0,260000.0,382000.0,3333.3333333333335,2075.4716981132074,6363.636363636364,3010.5263157894738,3709.090909090909
228,2009-01,315000.0,143000.0,690000.0,255000.0,375000.0,3327.2727272727275,2030.7692307692307,6500.0,2981.977671451356,3687.8324468085107
229,2009-02,310000.0,140000.0,708000.0,250000.0,375000.0,3324.324324324324,2083.3333333333335,6611.111111111111,2976.190476190476,3674.6987951807228
230,2009-03,310000.0,140000.0,720000.0,253000.0,365000.0,3279.344262295082,1445.92,6545.454545454545,2966.828779328779,3671.6417910447763
231,2009-04,315000.0,130000.0,670000.0,254000.0,373500.0,3343.283582089552,2178.5714285714284,6890.243902439024,3015.7271493770813,3691.382627817482
232,2009-05,318000.0,165000.0,692000.0,260000.0,376216.0,3356.0821917808216,2142.8571428571427,6133.333333333333,3035.714285714286,3708.173076923077
233,2009-06,320000.0,160000.0,700000.0,265000.0,382000.0,3365.12474012474,1473.3333333333333,6271.739130434783,3030.3030303030305,3736.842105263158
234,2009-07,328000.0,132000.0,765000.0,270000.0,385000.0,3406.7850753897264,2115.3846153846152,6320.977777777778,3057.811506675143,3750.0
235,2009-08,335000.0,140000.0,725000.0,273250.0,395000.0,3432.8358208955224,1677.685950413223,6590.909090909091,3096.2381916329286,3804.9830604178433
