,month,storey_range,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
3466,2001-10,high,5 ROOM,340000.0,191000.0,544000.0,300000.0,377750.0,2758.979492780002,1752.2935779816514,4245.901639344263,2460.460543854972,3056.4127290260367
3467,2001-10,high,EXECUTIVE,462000.0,335000.0,675000.0,420000.0,495000.0,3169.0140845070423,2248.3221476510066,4530.201342281879,2854.6099290780144,3413.3333333333335
3468,2001-10,high,MULTI-GENERATION,455000.0,455000.0,455000.0,455000.0,455000.0,2774.390243902439,2774.390243902439,2774.390243902439,2774.390243902439,2774.390243902439
3469,2001-10,low,1 ROOM,35500.0,34000.0,37000.0,34750.0,36250.0,1186.3181312569523,1096.774193548387,1275.8620689655172,1141.5461624026696,1231.0901001112347
3470,2001-10,low,2 ROOM,78000.0,55000.0,92000.0,73500.0,85000.0,1769.2307692307693,1145.8333333333333,2237.5,1560.0,1850.0
3471,2001-10,low,3 ROOM,140000.0,82500.0,223000.0,124750.0,157000.0,2075.7749712973596,1269.2307692307693,3250.0,1876.8703898840886,2279.4117647058824
3472,2001-10,low,4 ROOM,223000.0,137000.0,362000.0,204750.0,253000.0,2261.6758241758243,1412.3711340206185,3470.5882352941176,2058.823529411765,2479.1775798847566
3473,2001-10,low,5 ROOM,333000.0,205000.0,490000.0,287250.0,357750.0,2669.3564130929917,1666.6666666666667,3719.00826446281,2361.9174942704353,2900.4097506771304
3474,2001-10,low,EXECUTIVE,422000.0,343000.0,537000.0,385250.0,461350.0,2851.1415525114153,2300.0,3621.4285714285716,2556.630845536136,3098.475913998004
3475,2001-10,mid,1 ROOM,34000.0,32000.0,39000.0,33000.0,36500.0,1172.4137931034484,1103.448275862069,1344.8275862068965,1137.9310344827586,1258.6206896551726
3476,2001-10,mid,2 ROOM,78000.0,59000.0,83000.0,71000.0,80000.0,1733.3333333333333,1255.3191489361702,1804.3478260869565,1543.4782608695652,1739.1304347826087
3477,2001-10,mid,3 ROOM,143000.0,81000.0,217000.0,130000.0,164000.0,2149.2537313432836,1246.1538461538462,3166.6666666666665,1931.5068493150684,2329.268292682927
3478,2001-10,mid,4 ROOM,220000.0,140000.0,399000.0,204000.0,253000.0,2252.4271844660193,1538.4615384615386,3836.5384615384614,2095.2380952380954,2494.5652173913045
3479,2001-10,mid,5 ROOM,336000.0,225000.0,495000.0,292000.0,361750.0,2669.3548387096776,1891.2698412698412,3944.0,2409.090909090909,2946.1088154269974
3480,2001-10,mid,EXECUTIVE,448000.0,350000.0,620000.0,411000.0,478000.0,3013.698630136986,2282.3529411764707,4133.333333333333,2778.1615677428454,3327.3809523809523
3481,2001-10,very low,1 ROOM,37000.0,37000.0,37000.0,37000.0,37000.0,1321.4285714285713,1321.4285714285713,1321.4285714285713,1321.4285714285713,1321.4285714285713
3482,2001-10,very low,2 ROOM,71000.0,59000.0,89000.0,65875.0,78250.0,1566.6666666666667,1312.5,2022.7272727272727,1381.7483388704318,1652.1739130434783
3483,2001-10,very low,3 ROOM,132000.0,76000.0,266000.0,116000.0,147000.0,1933.8541666666665,1149.2537313432836,3022.7272727272725,1794.2183722804189,2100.7462686567164
3484,2001-10,very low,4 ROOM,212500.0,134000.0,395000.0,200000.0,243000.0,2140.0934579439254,1196.4285714285713,3761.904761904762,2010.029909240924,2391.304347826087
3485,2001-10,very low,5 ROOM,322000.0,195000.0,480000.0,282500.0,347500.0,2598.3606557377047,1572.5806451612902,4033.6134453781515,2289.2561983471073,2845.8573512049447
3486,2001-10,very low,EXECUTIVE,400000.0,336000.0,538888.0,371500.0,441250.0,2734.013605442177,2176.470588235294,3616.6979865771814,2466.5210203117617,2986.9719699960524
3487,2001-11,high,1 ROOM,41000.0,40000.0,42000.0,40500.0,41500.0,1413.7931034482758,1379.3103448275863,1448.2758620689656,1396.5517241379312,1431.0344827586207
3488,2001-11,high,2 ROOM,82000.0,58000.0,104000.0,64500.0,102900.0,1822.2222222222222,1288.888888888889,1962.2641509433963,1388.0666049953747,1941.5094339622642
3489,2001-11,high,3 ROOM,149500.0,85000.0,255000.0,135500.0,169500.0,2200.0,1356.164383561644,3430.769230769231,1985.458377239199,2408.957219251337
3490,2001-11,high,4 ROOM,233550.0,120000.0,465000.0,210000.0,263875.0,2349.5360426153447,1363.6363636363637,4471.153846153846,2125.035360678925,2626.239025771736
3491,2001-11,high,5 ROOM,345000.0,218000.0,532000.0,301000.0,377000.0,2809.9173553719006,1801.6528925619834,4290.322580645161,2445.8333333333335,3093.2203389830506
3492,2001-11,high,EXECUTIVE,455500.0,340000.0,610000.0,407625.0,484550.0,3132.565821432041,2319.277108433735,3759.124087591241,2696.7723004694835,3349.3527020924284
3493,2001-11,low,1 ROOM,36000.0,36000.0,36000.0,36000.0,36000.0,1241.3793103448277,1241.3793103448277,1241.3793103448277,1241.3793103448277,1241.3793103448277
3494,2001-11,low,2 ROOM,85000.0,64000.0,105000.0,71400.0,89500.0,1800.0,1354.1666666666667,2333.3333333333335,1724.0802675585282,1955.5555555555557
3495,2001-11,low,3 ROOM,138900.0,67000.0,201000.0,126000.0,152950.0,2048.507462686567,1046.875,2875.0,1891.995841995842,2237.928007023705
3496,2001-11,low,4 ROOM,218000.0,117000.0,355000.0,199000.0,250000.0,2250.0,1344.8275862068965,3441.176470588235,2039.6158463385354,2471.3598901098903
3497,2001-11,low,5 ROOM,320250.0,172000.0,445000.0,280000.0,347750.0,2553.7825810553086,1653.8461538461538,3739.4957983193276,2295.0819672131147,2810.6107984156765
3498,2001-11,low,EXECUTIVE,418000.0,330000.0,572000.0,390000.0,453000.0,2837.837837837838,2275.862068965517,4056.7375886524824,2591.8367346938776,3100.0
3499,2001-11,mid,1 ROOM,40000.0,37000.0,43000.0,38500.0,41500.0,1379.3103448275863,1193.5483870967741,1482.7586206896551,1286.4293659621803,1431.0344827586207
3500,2001-11,mid,2 ROOM,75000.0,64300.0,108880.0,69250.0,87500.0,1750.0,1339.5833333333333,2722.0,1602.2201665124885,1923.4299516908213
3501,2001-11,mid,3 ROOM,142000.0,72888.0,238000.0,129000.0,162000.0,2079.268292682927,1138.875,3161.764705882353,1927.536231884058,2291.1392405063293
3502,2001-11,mid,4 ROOM,225000.0,131000.0,410000.0,206850.0,253375.0,2306.227106227106,1505.7471264367816,3980.5825242718447,2096.8524898214846,2505.479574773053
3503,2001-11,mid,5 ROOM,321000.0,184000.0,475000.0,288000.0,346000.0,2557.377049180328,1294.7047619047619,3756.0975609756097,2363.6363636363635,2826.4462809917354
3504,2001-11,mid,EXECUTIVE,461000.0,348000.0,632000.0,416888.0,493000.0,3178.082191780822,2320.0,4450.704225352113,2755.3956834532373,3447.5524475524476
3505,2001-11,mid,MULTI-GENERATION,395000.0,388000.0,402000.0,391500.0,398500.0,2550.273768043803,2365.8536585365855,2734.6938775510203,2458.0637132901943,2642.4838227974114
3506,2001-11,very low,1 ROOM,40000.0,28000.0,45000.0,34000.0,42500.0,1290.3225806451612,965.5172413793103,1607.142857142857,1127.9199110122358,1448.7327188940092
3507,2001-11,very low,2 ROOM,71750.0,67000.0,86500.0,68875.0,77125.0,1728.513356562137,1456.5217391304348,1922.2222222222222,1635.4718981972428,1801.984126984127
3508,2001-11,very low,3 ROOM,132250.0,66000.0,658000.0,120000.0,148750.0,1953.9632916498588,1031.25,3013.157894736842,1790.3537866224433,2149.9539971376
3509,2001-11,very low,4 ROOM,213000.0,140000.0,450000.0,195000.0,243000.0,2209.6774193548385,1653.8461538461538,3750.0,2000.0,2403.010033444816
