,town,month,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
7753,SEMBAWANG,2018-08,360000.0,290000.0,590000.0,335000.0,410000.0,3636.3636363636365,2892.561983471074,4235.294117647059,3402.7027027027025,3784.9173727036323
7754,SEMBAWANG,2018-09,376500.0,215000.0,500000.0,338000.0,410500.0,3540.0,2981.818181818182,5375.0,3343.369565217391,3791.1211877422656
7755,SEMBAWANG,2018-10,367000.0,292000.0,532000.0,330000.0,403000.0,3464.102564102564,3019.80198019802,4430.10752688172,3313.6363636363635,3711.9740079490252
7756,SEMBAWANG,2018-11,353000.0,215000.0,580000.0,317444.0,391500.0,3571.4285714285716,2990.1960784313724,5375.0,3434.2262626262627,3796.8899521531102
7757,SEMBAWANG,2018-12,365000.0,215000.0,520000.0,335000.0,390000.0,3545.4545454545455,2916.6666666666665,5375.0,3347.6050307733476,3805.9129143988125
7758,SEMBAWANG,2019-01,355000.0,238000.0,485000.0,331000.0,420000.0,3615.3846153846152,3016.528925619835,5173.913043478261,3407.624880382775,3870.27027027027
7759,SEMBAWANG,2019-02,356000.0,225000.0,471800.0,325000.0,398000.0,3520.0,3178.2178217821784,4787.234042553191,3375.912408759124,3666.6666666666665
7760,SEMBAWANG,2019-03,352500.0,270000.0,510000.0,328500.0,398297.0,3643.379446640316,2954.5454545454545,4485.294117647059,3507.325746799431,3920.5685618729094
7761,SEMBAWANG,2019-04,355000.0,220000.0,572000.0,310000.0,406250.0,3604.1273831971503,3000.0,5000.0,3414.772727272727,3836.918806384455
7762,SEMBAWANG,2019-05,369000.0,210000.0,553000.0,316000.0,416250.0,3668.4397163120566,2927.927927927928,4826.086956521739,3462.1588089330025,4055.596285434995
7763,SEMBAWANG,2019-06,368000.0,225000.0,515000.0,325000.0,415500.0,3736.3636363636365,3228.813559322034,4787.234042553191,3541.6768665850673,3983.695652173913
7764,SEMBAWANG,2019-07,358000.0,215000.0,568000.0,310000.0,395000.0,3564.1630002095117,2923.728813559322,5106.382978723404,3335.0905850905847,4108.597285067874
7765,SEMBAWANG,2019-08,365000.0,200000.0,510000.0,318000.0,404000.0,3702.290076335878,3165.5772549019607,5250.0,3545.9595959595963,4213.235294117647
7766,SEMBAWANG,2019-09,388000.0,230500.0,605000.0,354000.0,422500.0,3663.6363636363635,3014.705882352941,5065.217391304348,3438.0557398805577,4166.817671809256
7767,SEMBAWANG,2019-10,360000.0,210000.0,525000.0,325000.0,415000.0,3741.176470588235,3109.090909090909,4936.170212765957,3546.099290780142,4176.470588235294
7768,SEMBAWANG,2019-11,363500.0,210000.0,555000.0,316250.0,425416.0,3707.855973813421,3166.6666666666665,5217.391304347826,3378.282828282828,4203.013833992095
7769,SEMBAWANG,2019-12,384000.0,225000.0,520000.0,334000.0,420500.0,3670.2127659574467,3072.7272727272725,5000.0,3483.5800185013877,4189.165497896213
7770,SEMBAWANG,2020-01,358000.0,195000.0,522000.0,302000.0,395000.0,3765.765765765766,3045.4545454545455,4574.468085106383,3590.909090909091,4235.294117647059
7771,SEMBAWANG,2020-02,372000.0,230000.0,540000.0,341888.0,425000.0,3763.440860215054,3050.8474576271187,5217.391304347826,3514.8514851485147,4086.021505376344
7772,SEMBAWANG,2020-03,398000.0,218000.0,534888.0,365000.0,438000.0,3777.777777777778,3130.5693430656934,4956.521739130435,3560.9756097560976,4247.311827956989
7773,SEMBAWANG,2020-04,412000.0,306000.0,515000.0,337500.0,432750.0,3564.0373197625104,3346.153846153846,4558.823529411765,3546.590909090909,3674.4291523303095
7774,SEMBAWANG,2020-05,427500.0,350000.0,478000.0,391500.0,453750.0,3469.036903690369,3346.153846153846,3783.7837837837837,3384.584808845848,3625.874125874126
7775,SEMBAWANG,2020-06,378000.0,220000.0,488000.0,355000.0,418000.0,3721.7391304347825,3232.7586206896553,4913.04347826087,3590.909090909091,3909.090909090909
7776,SEMBAWANG,2020-07,409000.0,206000.0,555000.0,363500.0,451750.0,3742.9562803608605,3073.170731707317,5260.869565217391,3546.703296703297,3986.6449325097233
7777,SEMBAWANG,2020-08,406500.0,201300.0,533000.0,344000.0,470000.0,3748.2517482517483,3318.181818181818,5508.255319148936,3522.814685314685,4171.739130434782
7778,SEMBAWANG,2020-09,386500.0,215000.0,543000.0,360000.0,418750.0,3714.8325358851675,3166.6666666666665,5375.0,3518.4915550378564,4041.666666666667
7779,SEMBAWANG,2020-10,405000.0,228000.0,575000.0,352000.0,466000.0,3756.429740472294,3252.032520325203,5700.0,3563.199513381995,4066.610858646257
7780,SEMBAWANG,2020-11,395000.0,240000.0,577000.0,356000.0,478750.0,3866.9496321448783,3305.084745762712,5106.382978723404,3675.0,4195.454545454546
7781,SEMBAWANG,2020-12,420000.0,350000.0,555000.0,393750.0,450000.0,3876.2626262626263,3181.818181818182,4838.709677419355,3677.3941707147815,4173.895253682488
7782,SEMBAWANG,2021-01,413000.0,235000.0,588000.0,384250.0,467500.0,4199.346405228758,3587.7862595419847,5108.695652173913,3916.6666666666665,4432.795698924731
7783,SEMBAWANG,2021-02,402750.0,230000.0,530000.0,353750.0,450000.0,4143.9655172413795,3500.0,5489.36170212766,3897.727272727273,4702.589991220369
7784,SEMBAWANG,2021-03,445000.0,250000.0,605000.0,387000.0,498125.0,4242.349234923492,3503.6496350364964,5702.127659574468,4000.0,4525.021276595745
7785,SEMBAWANG,2021-04,426000.0,240000.0,625000.0,383500.0,489504.5,4416.454930429522,3576.6423357664235,5304.54347826087,4126.955831265508,4705.882352941177
7786,SEMBAWANG,2021-05,445000.0,240000.0,580000.0,403000.0,501250.0,4215.277777777777,3454.5454545454545,6700.0,3919.78650990099,4418.325326012354
7787,SEMBAWANG,2021-06,448000.0,355000.0,685000.0,408000.0,495000.0,4324.066666666667,3727.2727272727275,5239.130434782609,4158.415841584158,4541.666666666667
7788,SEMBAWANG,2021-07,450000.0,240000.0,625000.0,400000.0,508000.0,4300.0,3521.1267605633802,5322.580645161291,4142.857142857143,4574.712643678161
7789,SEMBAWANG,2021-08,469000.0,285000.0,630000.0,425916.0,496250.0,4457.002457002457,3590.909090909091,6063.829787234043,4306.818181818182,4833.333333333333
7790,SEMBAWANG,2021-09,482500.0,275000.0,705000.0,412750.0,542166.0,4504.0669856459335,3966.3865546218485,5851.063829787234,4216.509988249119,4815.845257021728
7791,SEMBAWANG,2021-10,480000.0,270800.0,650000.0,430000.0,527000.0,4568.9655172413795,3905.109489051095,5886.95652173913,4363.636363636364,4833.333333333333
7792,SEMBAWANG,2021-11,467000.0,372000.0,650000.0,438000.0,542500.0,4531.876138433516,4000.0,5559.139784946236,4296.107110711071,4903.096903096904
7793,SEMBAWANG,2021-12,500000.0,270000.0,660000.0,428750.0,535000.0,4608.221667045196,3454.5454545454545,6750.0,4350.019727756954,4974.174174174174
7794,SEMBAWANG,2022-01,480000.0,285000.0,700000.0,443750.0,540000.0,4861.811505507956,3863.6363636363635,6382.978723404255,4490.107913669065,5362.903225806452
7795,SEMBAWANG,2022-02,501000.0,260000.0,700000.0,441500.0,609166.0,5190.860215053764,4306.306306306306,6500.0,4742.803970223325,5909.29203539823
7796,SEMBAWANG,2022-03,520000.0,395000.0,700000.0,480000.0,588088.0,4727.272727272727,3869.5652173913045,6344.086021505376,4481.818181818182,5430.10752688172
7797,SEMBAWANG,2022-04,502500.0,300000.0,688888.0,470000.0,563750.0,4850.267379679144,4119.718309859155,6612.903225806452,4607.843137254902,5510.752688172043
7798,SEMBAWANG,2022-05,513000.0,310000.0,721000.0,458000.0,589000.0,5444.444444444444,4067.7966101694915,6739.130434782609,4800.67175572519,6150.442477876106
7799,SEMBAWANG,2022-06,510000.0,325000.0,736000.0,450000.0,583000.0,5032.9670329670325,4068.627450980392,8552.631578947368,4711.711711711711,5955.882352941177
7800,SEMBAWANG,2022-07,550000.0,310000.0,740000.0,485000.0,600188.0,5121.282442748092,4110.169491525424,8447.368421052632,4560.43956043956,6035.398230088495
7801,SEMBAWANG,2022-08,490800.0,255000.0,690000.0,430000.0,558000.0,5588.235294117647,4257.425742574257,7617.021276595745,4872.340425531915,6182.795698924731
7802,SEMBAWANG,2022-09,552500.0,282000.0,735000.0,477250.0,610750.0,5499.871991807476,4217.391304347826,7276.595744680851,4852.0017219113215,6230.962793795794
7803,SEMBAWANG,2022-10,531500.0,285000.0,735000.0,445000.0,592500.0,5975.0214102198115,4237.28813559322,7340.425531914893,4988.738738738739,6495.509179764892
7804,SEMBAWANG,2022-11,538000.0,290000.0,746000.0,460000.0,593888.0,5806.451612903225,4423.076923076923,8684.21052631579,4977.777777777777,6290.322580645161
7805,SEMBAWANG,2022-12,530000.0,280000.0,748000.0,460000.0,590000.0,5836.061627347135,4389.830508474576,8049.684210526316,4942.146089204913,6344.086021505376
7806,SEMBAWANG,2023-01,523500.0,302000.0,760000.0,459125.0,602722.0,5529.451808406648,4454.545454545455,7947.368421052632,5000.0,6483.044337137841
7807,SEMBAWANG,2023-02,550000.0,303000.0,795000.0,464166.0,601250.0,5994.623655913978,4416.058394160584,8473.684210526315,5000.0,6444.761632886098
7808,SEMBAWANG,2023-03,530000.0,300000.0,735000.0,487500.0,597500.0,5591.397849462365,4411.764705882353,7894.736842105263,4938.750789972614,6344.086021505376
7809,SEMBAWANG,2023-04,545888.0,320000.0,740000.0,460000.0,600000.0,6017.699115044248,4135.593220338983,7617.021276595745,5102.925809822362,6451.612903225807
7810,SEMBAWANG,2023-05,558500.0,300000.0,740000.0,486750.0,599750.0,5850.461509182605,4457.627118644068,8644.736842105263,5308.225616921269,6300.774193548386
7811,SEMBAWANG,2023-06,556888.0,318000.0,735000.0,486500.0,605944.0,6075.268817204301,4454.545454545455,7234.04255319149,5381.318681318681,6357.88371871729
7812,SEMBAWANG,2023-07,550000.0,302888.0,786000.0,463750.0,588500.0,6021.5053763440865,4449.152542372882,7702.127659574468,5434.995112414467,6492.726122707148
