month,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
1995-05,MULTI GENERATION,500000.0,500000.0,500000.0,500000.0,500000.0,2793.2960893854747,2793.2960893854747,2793.2960893854747,2793.2960893854747,2793.2960893854747
1995-06,MULTI GENERATION,480000.0,470000.0,596000.0,475000.0,538000.0,2891.5662650602408,2865.8536585365855,3725.0,2878.709961798413,3308.2831325301204
1995-07,MULTI GENERATION,475000.0,440800.0,516000.0,455200.0,496500.0,2896.3414634146343,2772.327044025157,3146.3414634146343,2796.7402975916552,3027.439024390244
1995-08,MULTI GENERATION,505000.0,505000.0,505000.0,505000.0,505000.0,2821.2290502793294,2821.2290502793294,2821.2290502793294,2821.2290502793294,2821.2290502793294
1995-09,MULTI GENERATION,600000.0,600000.0,600000.0,600000.0,600000.0,3750.0,3750.0,3750.0,3750.0,3750.0
1995-10,MULTI GENERATION,608000.0,608000.0,608000.0,608000.0,608000.0,3597.6331360946747,3597.6331360946747,3597.6331360946747,3597.6331360946747,3597.6331360946747
1995-11,MULTI GENERATION,510000.0,485000.0,583000.0,497500.0,546500.0,3109.756097560976,3050.314465408805,3643.75,3080.03528148489,3376.753048780488
1996-01,MULTI GENERATION,523000.0,400000.0,680000.0,504000.0,571250.0,3189.0243902439024,3012.0481927710844,4121.212121212121,3059.3126385809314,3450.9991184249193
1996-02,MULTI GENERATION,507500.0,460000.0,580000.0,468750.0,567250.0,3373.616916646177,2988.8268156424583,3536.5853658536585,3125.9291796188672,3484.118291347207
1996-03,MULTI GENERATION,560000.0,516000.0,570000.0,549000.0,562500.0,3344.743973755527,2882.68156424581,3433.734939759036,3176.810741938645,3419.4093446958564
1996-04,MULTI GENERATION,690000.0,578000.0,698000.0,634000.0,694000.0,4181.818181818182,3524.390243902439,4230.30303030303,3853.1042128603103,4206.060606060606
1996-05,MULTI GENERATION,575000.0,550000.0,736000.0,564000.0,583750.0,3994.8979591836737,3391.812865497076,4433.734939759036,3598.8546020817967,4231.965174129353
1996-07,MULTI GENERATION,594000.0,550000.0,740000.0,578500.0,635000.0,4083.3333333333335,3658.5365853658536,4933.333333333333,3914.6341463414633,4358.333333333334
1996-08,MULTI GENERATION,655000.0,640000.0,670000.0,647500.0,662500.0,3971.6429438375812,3918.12865497076,4025.1572327044023,3944.885799404171,3998.4000882709915
1996-09,MULTI GENERATION,690000.0,580000.0,728000.0,650000.0,705000.0,3963.4146341463415,3536.5853658536585,4385.542168674699,3938.5474860335194,4035.0877192982457
1996-10,MULTI GENERATION,682000.0,645000.0,715000.0,663500.0,698500.0,3932.9268292682927,3810.0558659217877,4440.993788819876,3871.49134759504,4186.960309044084
1996-11,MULTI GENERATION,644000.0,600000.0,705000.0,638500.0,672000.0,3964.3858452678637,3614.4578313253014,4272.727272727273,3774.149228492919,4078.5784648026065
