month,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
2000-06,4 ROOM,255500.0,112000.0,480000.0,231000.0,285000.0,2615.3846153846152,1244.4444444444443,4615.384615384615,2342.65873015873,2826.086956521739
2000-07,4 ROOM,251750.0,110000.0,433000.0,228000.0,280916.0,2577.097902097902,967.2131147540983,4337.349397590361,2329.7733516483518,2802.197802197802
2000-08,4 ROOM,252000.0,140000.0,450000.0,227000.0,280000.0,2571.091644204852,1546.3917525773195,4344.827586206897,2317.8124416215205,2766.990291262136
2000-09,4 ROOM,248000.0,136500.0,451000.0,224000.0,280000.0,2542.0560747663553,1474.2268041237114,4390.243902439024,2280.7017543859647,2777.777777777778
2000-10,4 ROOM,247000.0,140000.0,445000.0,224000.0,278000.0,2526.8817204301076,1555.5555555555557,4195.121951219512,2262.135922330097,2745.2830188679245
2000-11,4 ROOM,245000.0,132100.0,480000.0,221950.0,276000.0,2519.230769230769,1505.3763440860216,4571.428571428572,2275.2601040416166,2739.4439799331103
2000-12,4 ROOM,239000.0,132000.0,460000.0,216000.0,270000.0,2461.5384615384614,1517.2413793103449,4423.076923076923,2224.6617748222884,2704.599567099567
2001-01,4 ROOM,238000.0,132000.0,426000.0,217000.0,270000.0,2440.0183150183148,1466.6666666666667,4156.626506024097,2215.535605599513,2681.7067736185386
2001-02,4 ROOM,235000.0,132000.0,475000.0,215000.0,267000.0,2424.5283018867926,1418.3673469387754,4567.307692307692,2197.9654009356977,2673.2859531772574
2001-03,4 ROOM,235000.0,128000.0,449000.0,211000.0,265000.0,2404.3040293040294,1454.5454545454545,4171.428571428572,2172.043010752688,2654.7619047619046
2001-04,4 ROOM,232000.0,117000.0,458000.0,211000.0,265000.0,2362.6373626373625,928.5714285714286,4240.740740740741,2157.1350762527236,2633.110906580764
2001-05,4 ROOM,230500.0,120000.0,440000.0,210000.0,261000.0,2361.904761904762,1000.0,4190.476190476191,2119.0476190476193,2611.650485436893
2001-06,4 ROOM,226000.0,124000.0,422180.0,206250.0,258500.0,2311.5743558531144,1425.287356321839,4059.423076923077,2115.3846153846152,2559.7179089026913
2001-07,4 ROOM,225000.0,114000.0,440000.0,205000.0,255000.0,2297.3243752946723,1266.6666666666667,4230.7692307692305,2107.1428571428573,2544.338171681246
2001-08,4 ROOM,226000.0,118000.0,455000.0,208000.0,258000.0,2299.0654205607475,1250.0,4212.962962962963,2096.153846153846,2563.106796116505
2001-09,4 ROOM,225000.0,123000.0,425000.0,205000.0,255000.0,2283.653846153846,1369.5652173913043,4047.6190476190477,2087.912087912088,2527.4725274725274
2001-10,4 ROOM,223000.0,134000.0,435000.0,205000.0,254000.0,2278.0369383092157,1196.4285714285713,4182.692307692308,2069.3069306930693,2519.2774458551157
2001-11,4 ROOM,224000.0,117000.0,465000.0,203000.0,253000.0,2288.288288288288,1344.8275862068965,4471.153846153846,2064.516129032258,2504.7619047619046
2001-12,4 ROOM,221750.0,105000.0,430000.0,200000.0,250000.0,2270.5140186915887,889.8305084745763,4134.615384615385,2040.8163265306123,2480.40522875817
2002-01,4 ROOM,218000.0,125000.0,405000.0,199000.0,248000.0,2228.9056339262243,1402.1739130434783,4012.1951219512193,2019.6078431372548,2452.037545787546
2002-02,4 ROOM,217000.0,121000.0,448000.0,200000.0,248000.0,2220.0,1370.967741935484,4266.666666666667,2023.1407169609417,2468.4466019417478
