town,month,flat_type,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
JURONG EAST,1996-11,3 ROOM,07 TO 09,188000.0,175000.0,207500.0,182500.0,198000.0,2703.577699736611,2459.4594594594596,2941.176470588235,2607.9672375279224,2788.155802861685
JURONG EAST,1996-11,3 ROOM,10 TO 12,185000.0,155000.0,197000.0,167000.0,186000.0,2662.162162162162,2094.5945945945946,2761.194029850746,2168.8311688311687,2735.294117647059
JURONG EAST,1996-11,3 ROOM,13 TO 15,196000.0,110000.0,203000.0,171500.0,200750.0,2767.8855325914146,1506.849315068493,3029.8507462686566,2322.658274713069,2963.3450395083405
JURONG EAST,1996-11,4 ROOM,01 TO 03,304000.0,236800.0,348000.0,288000.0,316000.0,3038.4615384615386,2368.0,3346.153846153846,2742.8571428571427,3304.3478260869565
JURONG EAST,1996-11,4 ROOM,04 TO 06,300000.0,270000.0,332500.0,295750.0,313500.0,3076.923076923077,2727.2727272727275,3294.4444444444443,2945.2493730844244,3194.3023731587564
JURONG EAST,1996-11,4 ROOM,07 TO 09,307000.0,265000.0,349000.0,286000.0,328000.0,2981.3061770893096,2769.84126984127,3192.7710843373493,2875.5737234652897,3087.0386307133294
JURONG EAST,1996-11,4 ROOM,10 TO 12,285000.0,270000.0,342000.0,270000.0,303000.0,2878.787878787879,2727.2727272727275,3288.4615384615386,2783.505154639175,2885.714285714286
JURONG EAST,1996-11,5 ROOM,01 TO 03,410000.0,395000.0,425000.0,402500.0,417500.0,3416.6666666666665,3291.6666666666665,3541.6666666666665,3354.1666666666665,3479.1666666666665
JURONG EAST,1996-11,5 ROOM,04 TO 06,405000.0,320000.0,490000.0,362500.0,447500.0,2802.0192070918492,2442.7480916030536,3161.2903225806454,2622.3836493474514,2981.6547648362475
JURONG EAST,1996-11,5 ROOM,07 TO 09,448000.0,385000.0,520000.0,430000.0,463000.0,3495.9349593495936,3208.3333333333335,4333.333333333333,3429.6296296296296,3796.6101694915255
JURONG EAST,1996-11,5 ROOM,10 TO 12,397000.0,372000.0,465000.0,384750.0,420000.0,3106.9575245050933,3015.5038759689924,3604.6511627906975,3059.6610929591902,3255.813953488372
JURONG EAST,1996-11,5 ROOM,13 TO 15,388000.0,360000.0,475000.0,374000.0,431500.0,3157.8947368421054,3007.751937984496,3958.3333333333335,3082.8233374133006,3558.1140350877195
JURONG EAST,1996-11,5 ROOM,19 TO 21,500000.0,500000.0,500000.0,500000.0,500000.0,4166.666666666667,4166.666666666667,4166.666666666667,4166.666666666667,4166.666666666667
JURONG EAST,1996-11,EXECUTIVE,01 TO 03,487250.0,484500.0,490000.0,485875.0,488625.0,3196.3517466873172,3141.025641025641,3251.6778523489934,3168.6886938564794,3224.014799518155
JURONG EAST,1996-11,EXECUTIVE,04 TO 06,536500.0,535000.0,538000.0,535750.0,537250.0,3600.6711409395975,3590.6040268456377,3610.738255033557,3595.6375838926174,3605.7046979865772
JURONG EAST,1996-11,EXECUTIVE,10 TO 12,550000.0,550000.0,550000.0,550000.0,550000.0,3767.123287671233,3767.123287671233,3767.123287671233,3767.123287671233,3767.123287671233
JURONG EAST,1996-12,3 ROOM,01 TO 03,169500.0,135000.0,197000.0,159250.0,187250.0,2406.3130294473576,1824.3243243243244,2897.0588235294117,2056.332495285984,2629.2680433449195
JURONG EAST,1996-12,3 ROOM,04 TO 06,191500.0,176000.0,235000.0,184250.0,195500.0,2696.939586645469,2391.891891891892,2901.2345679012346,2632.3114158935055,2828.3582089552237
JURONG EAST,1996-12,3 ROOM,07 TO 09,195000.0,158000.0,215000.0,175000.0,201500.0,2597.4025974025976,2135.135135135135,3029.8507462686566,2540.955934612651,2897.7611940298507
JURONG EAST,1996-12,3 ROOM,10 TO 12,191000.0,170000.0,207000.0,187250.0,195750.0,2781.0015898251195,2500.0,2985.0746268656717,2747.2014925373132,2867.6470588235297
JURONG EAST,1996-12,3 ROOM,13 TO 15,210000.0,210000.0,210000.0,210000.0,210000.0,3088.235294117647,3088.235294117647,3088.235294117647,3088.235294117647,3088.235294117647
JURONG EAST,1996-12,4 ROOM,01 TO 03,295000.0,280000.0,310000.0,288000.0,295000.0,2952.3809523809523,2809.5238095238096,3063.8297872340427,2809.5238095238096,2978.723404255319
JURONG EAST,1996-12,4 ROOM,04 TO 06,290000.0,232000.0,316500.0,272250.0,306000.0,2895.1378809869375,2600.0,3183.673469387755,2770.9601291765,3067.401215805471
JURONG EAST,1996-12,4 ROOM,07 TO 09,301000.0,235000.0,330000.0,283750.0,309000.0,3102.0408163265306,2831.3253012048194,3318.6813186813188,3003.7496926481435,3186.813186813187
JURONG EAST,1996-12,4 ROOM,10 TO 12,320000.0,263000.0,350000.0,270000.0,325000.0,3125.0,2656.5656565656564,3365.3846153846152,2727.2727272727275,3298.9690721649486
